player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Giovanni Di Lorenzo,it ITA,DF,26.0,36.0,3.0,28.0,12.0,42.9,0.78,0.33,0.11,0.25,12.4,0.0,0.0,0.0,3.8,3.8,0.14,-0.8,-0.8,2228.0,2586.0,86.2,34895.0,12760.0,1197.0,1283.0,93.3,829.0,932.0,88.9,142.0,215.0,66.0,6.0,5.7,4.1,0.3,48.0,227.0,61.0,13.0,259.0,2586.0,2187.0,395.0,74.0,2.0,10.0,72.0,321.0,0.0,0.0,0.0,0.0,2228.0,4.0,54.0,116.0,3.22,94.0,6.0,7.0,3.0,5.0,1.0,18.0,0.5,12.0,1.0,2.0,1.0,2.0,0.0,79.0,50.0,54.0,21.0,4.0,43.0,75.0,57.3,32.0,37.0,13.0,24.0,35.0,114.0,64.0,1.0,2917.0,118.0,795.0,1438.0,714.0,82.0,2917.0,54.0,30.0,55.6,24.0,44.4,1819.0,8831.0,5164.0,104.0,59.0,13.0,31.0,16.0,2038.0,192.0,36,3240.0,90.0,94.7,36.0,36,90.0,36,0,,0,1.97,78.0,41.0,37.0,1.03,-2.97,64.8,40.9,23.9,0.66,0.01,11.0,0.0,0.0,49.0,60.0,3.0,72.0,35.0,50.0,1.0,1.0,0.0,177.0,55.0,40.0,57.9
Lorenzo Insigne,it ITA,FW,29.0,31.8,19.0,136.0,40.0,29.4,4.27,1.26,0.09,0.3,21.7,13.0,7.0,8.0,15.6,9.3,0.07,3.4,2.7,1486.0,1872.0,79.4,24219.0,6030.0,824.0,906.0,90.9,437.0,555.0,78.7,161.0,265.0,60.8,8.0,8.5,7.6,-0.5,63.0,115.0,84.0,11.0,192.0,1872.0,1682.0,174.0,64.0,10.0,48.0,113.0,40.0,64.0,36.0,2.0,0.0,1486.0,16.0,36.0,164.0,5.16,113.0,12.0,15.0,21.0,2.0,1.0,17.0,0.53,11.0,1.0,2.0,3.0,0.0,0.0,26.0,18.0,8.0,12.0,6.0,13.0,72.0,18.1,59.0,30.0,1.0,29.0,37.0,63.0,6.0,1.0,2280.0,22.0,250.0,1028.0,1040.0,143.0,2272.0,105.0,65.0,61.9,40.0,38.1,1469.0,9303.0,4826.0,138.0,95.0,54.0,63.0,34.0,1710.0,270.0,35,2865.0,82.0,83.8,31.8,33,85.0,21,2,38.0,0,2.11,75.0,30.0,45.0,1.41,1.41,58.6,34.0,24.6,0.77,0.68,2.0,1.0,0.0,9.0,39.0,11.0,113.0,37.0,18.0,0.0,0.0,0.0,199.0,2.0,5.0,28.6
Piotr Zieliński,pl POL,MF,26.0,28.0,8.0,60.0,25.0,41.7,2.14,0.89,0.13,0.32,19.5,0.0,0.0,0.0,5.3,5.3,0.09,2.7,2.7,1031.0,1247.0,82.7,15663.0,3884.0,568.0,635.0,89.4,307.0,362.0,84.8,89.0,141.0,63.1,10.0,5.2,3.4,4.8,56.0,109.0,23.0,2.0,154.0,1247.0,1170.0,70.0,20.0,3.0,14.0,65.0,3.0,33.0,6.0,22.0,0.0,1031.0,7.0,19.0,117.0,4.17,81.0,15.0,9.0,6.0,6.0,0.0,25.0,0.89,17.0,2.0,4.0,0.0,2.0,0.0,18.0,10.0,8.0,7.0,3.0,7.0,20.0,35.0,13.0,23.0,4.0,19.0,18.0,36.0,12.0,0.0,1500.0,25.0,148.0,735.0,643.0,85.0,1500.0,95.0,58.0,61.1,37.0,38.9,972.0,5886.0,2948.0,93.0,76.0,15.0,50.0,31.0,1191.0,157.0,36,2523.0,70.0,73.8,28.0,32,76.0,3,4,20.0,0,1.97,63.0,30.0,33.0,1.18,-0.03,46.6,31.7,14.9,0.53,-0.5,2.0,0.0,0.0,12.0,45.0,7.0,65.0,18.0,10.0,0.0,0.0,0.0,108.0,4.0,8.0,33.3
Fabián Ruiz Peña,es ESP,MF,24.0,28.5,3.0,43.0,15.0,34.9,1.51,0.53,0.07,0.2,22.5,1.0,0.0,0.0,2.0,2.0,0.05,1.0,1.0,1884.0,2110.0,89.3,32946.0,8928.0,924.0,989.0,93.4,656.0,706.0,92.9,244.0,298.0,81.9,1.0,2.0,3.3,-1.0,40.0,206.0,39.0,2.0,226.0,2110.0,2036.0,69.0,59.0,0.0,38.0,23.0,3.0,7.0,2.0,1.0,0.0,1884.0,5.0,31.0,112.0,3.92,96.0,1.0,3.0,7.0,2.0,3.0,12.0,0.42,9.0,0.0,1.0,0.0,2.0,0.0,58.0,31.0,26.0,21.0,11.0,25.0,70.0,35.7,45.0,33.0,3.0,30.0,36.0,94.0,32.0,1.0,2380.0,73.0,457.0,1378.0,569.0,39.0,2380.0,34.0,28.0,82.4,6.0,17.6,1520.0,7477.0,3871.0,61.0,55.0,6.0,23.0,20.0,1869.0,80.0,33,2569.0,78.0,75.1,28.5,29,86.0,18,4,17.0,1,2.06,65.0,32.0,33.0,1.16,-0.11,52.4,32.0,20.4,0.71,0.21,1.0,0.0,0.0,11.0,26.0,1.0,23.0,36.0,31.0,0.0,1.0,0.0,186.0,15.0,7.0,68.2
Kostas Manolas,gr GRE,DF,29.0,25.5,0.0,8.0,3.0,37.5,0.31,0.12,0.0,0.0,12.9,0.0,0.0,0.0,0.9,0.9,0.11,-0.9,-0.9,1442.0,1555.0,92.7,28283.0,9379.0,470.0,505.0,93.1,792.0,813.0,97.4,167.0,211.0,79.1,0.0,0.3,0.3,-0.3,5.0,47.0,5.0,0.0,73.0,1555.0,1482.0,71.0,53.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,1442.0,2.0,4.0,22.0,0.86,14.0,0.0,1.0,2.0,2.0,3.0,2.0,0.08,0.0,0.0,0.0,1.0,1.0,0.0,31.0,18.0,24.0,7.0,0.0,17.0,24.0,70.8,7.0,22.0,13.0,9.0,23.0,54.0,82.0,2.0,1735.0,201.0,835.0,878.0,26.0,11.0,1735.0,3.0,2.0,66.7,1.0,33.3,1107.0,4649.0,2239.0,4.0,4.0,1.0,1.0,1.0,1273.0,1.0,30,2298.0,77.0,67.2,25.5,27,83.0,21,3,16.0,3,2.07,60.0,26.0,34.0,1.33,0.45,49.7,26.0,23.8,0.93,0.82,5.0,0.0,0.0,21.0,12.0,0.0,0.0,23.0,18.0,1.0,1.0,0.0,93.0,41.0,37.0,52.6
Kalidou Koulibaly,sn SEN,DF,29.0,24.5,0.0,11.0,2.0,18.2,0.45,0.08,0.0,0.0,11.1,0.0,0.0,0.0,1.0,1.0,0.09,-1.0,-1.0,1566.0,1775.0,88.2,28893.0,11863.0,654.0,706.0,92.6,726.0,776.0,93.6,166.0,248.0,66.9,0.0,0.2,0.4,-0.2,5.0,106.0,8.0,2.0,116.0,1775.0,1678.0,90.0,52.0,1.0,18.0,5.0,1.0,0.0,0.0,0.0,0.0,1566.0,7.0,10.0,17.0,0.69,15.0,0.0,1.0,0.0,0.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,36.0,24.0,25.0,7.0,4.0,19.0,32.0,59.4,13.0,46.0,26.0,20.0,29.0,65.0,64.0,2.0,1981.0,202.0,843.0,1087.0,70.0,18.0,1981.0,22.0,19.0,86.4,3.0,13.6,1306.0,6374.0,3585.0,22.0,21.0,2.0,8.0,6.0,1414.0,6.0,26,2209.0,85.0,64.6,24.5,25,88.0,22,1,13.0,1,2.04,54.0,21.0,33.0,1.34,0.45,39.9,25.8,14.0,0.57,-0.26,10.0,1.0,1.0,29.0,9.0,0.0,5.0,29.0,24.0,0.0,0.0,0.0,172.0,40.0,37.0,51.9
Hirving Lozano,mx MEX,FW,25.0,21.8,11.0,59.0,27.0,45.8,2.7,1.24,0.19,0.41,15.5,0.0,0.0,0.0,9.3,9.3,0.16,1.7,1.7,426.0,620.0,68.7,5456.0,1067.0,270.0,330.0,81.8,103.0,155.0,66.5,16.0,41.0,39.0,3.0,4.8,3.5,-1.8,35.0,17.0,22.0,7.0,44.0,620.0,605.0,12.0,2.0,0.0,3.0,73.0,9.0,0.0,0.0,0.0,0.0,426.0,3.0,28.0,87.0,3.98,57.0,0.0,6.0,6.0,15.0,3.0,10.0,0.46,5.0,0.0,1.0,1.0,2.0,1.0,29.0,18.0,10.0,13.0,6.0,10.0,36.0,27.8,26.0,37.0,1.0,36.0,18.0,47.0,14.0,0.0,925.0,12.0,84.0,299.0,557.0,129.0,925.0,70.0,29.0,41.4,41.0,58.6,640.0,5016.0,2696.0,112.0,44.0,43.0,55.0,22.0,693.0,256.0,32,1965.0,61.0,57.5,21.8,23,76.0,9,9,24.0,0,2.06,45.0,20.0,25.0,1.15,-0.09,41.4,23.2,18.2,0.83,0.4,6.0,0.0,0.0,33.0,69.0,11.0,73.0,18.0,18.0,1.0,0.0,0.0,95.0,15.0,23.0,39.5
Tiemoué Bakayoko,fr FRA,MF,25.0,21.8,2.0,16.0,4.0,25.0,0.73,0.18,0.13,0.5,18.0,0.0,0.0,0.0,1.1,1.1,0.07,0.9,0.9,1080.0,1228.0,87.9,17505.0,4453.0,524.0,590.0,88.8,442.0,465.0,95.1,82.0,103.0,79.6,1.0,0.8,1.0,0.2,12.0,87.0,8.0,0.0,99.0,1228.0,1198.0,27.0,27.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1080.0,3.0,16.0,34.0,1.56,27.0,0.0,0.0,2.0,3.0,2.0,4.0,0.18,2.0,0.0,0.0,0.0,1.0,1.0,69.0,41.0,21.0,41.0,7.0,23.0,40.0,57.5,17.0,24.0,2.0,22.0,36.0,105.0,13.0,2.0,1449.0,36.0,296.0,973.0,187.0,16.0,1449.0,29.0,25.0,86.2,4.0,13.8,804.0,3386.0,1295.0,15.0,18.0,1.0,27.0,20.0,1063.0,17.0,32,1964.0,61.0,57.4,21.8,23,81.0,8,9,12.0,3,1.94,51.0,29.0,22.0,1.01,-0.41,40.5,26.1,14.4,0.66,-0.01,6.0,1.0,1.0,36.0,52.0,1.0,2.0,36.0,41.0,1.0,0.0,0.0,129.0,44.0,34.0,56.4
Alex Meret,it ITA,GK,23.0,22.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,541.0,605.0,89.4,12081.0,7214.0,163.0,164.0,99.4,249.0,254.0,98.0,126.0,181.0,69.6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,605.0,482.0,121.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.0,2.0,1.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,640.0,576.0,639.0,1.0,0.0,0.0,640.0,0.0,0.0,,0.0,,393.0,1721.0,1020.0,0.0,0.0,0.0,1.0,0.0,346.0,0.0,22,1980.0,90.0,57.9,22.0,22,90.0,22,0,,16,2.0,53.0,29.0,24.0,1.09,-0.22,38.9,28.0,10.9,0.5,-0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,1.0,83.3
Matteo Politano,it ITA,"FW,MF",26.0,21.2,9.0,63.0,19.0,30.2,2.97,0.9,0.14,0.47,19.6,1.0,0.0,0.0,5.2,5.2,0.08,3.8,3.8,659.0,871.0,75.7,10066.0,2388.0,378.0,423.0,89.4,198.0,260.0,76.2,57.0,111.0,51.4,4.0,3.9,3.0,0.1,34.0,28.0,27.0,7.0,78.0,871.0,774.0,96.0,14.0,2.0,15.0,90.0,22.0,55.0,26.0,10.0,0.0,659.0,1.0,28.0,95.0,4.48,57.0,14.0,14.0,4.0,6.0,0.0,13.0,0.61,7.0,0.0,5.0,1.0,0.0,0.0,24.0,16.0,13.0,9.0,2.0,11.0,47.0,23.4,36.0,14.0,1.0,13.0,14.0,38.0,18.0,0.0,1117.0,27.0,116.0,382.0,640.0,77.0,1117.0,60.0,37.0,61.7,23.0,38.3,726.0,5732.0,2940.0,94.0,62.0,29.0,46.0,23.0,823.0,197.0,37,1908.0,52.0,55.8,21.2,22,72.0,4,15,22.0,1,2.0,49.0,26.0,23.0,1.08,-0.22,36.8,23.9,12.9,0.61,-0.12,3.0,0.0,0.0,15.0,47.0,0.0,90.0,14.0,16.0,0.0,0.0,0.0,68.0,4.0,18.0,18.2
