player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Matías Dituro,ar ARG,GK,34.0,38.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,,20.2,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,926.0,1465.0,63.2,31107.0,24452.0,93.0,95.0,97.9,396.0,408.0,97.1,436.0,952.0,45.8,0.0,0.1,0.1,-0.1,1.0,23.0,1.0,0.0,2.0,1465.0,1061.0,398.0,115.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,926.0,6.0,3.0,3.0,0.08,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,1529.0,1306.0,1516.0,11.0,2.0,0.0,1529.0,0.0,0.0,,0.0,,814.0,4088.0,2700.0,0.0,0.0,0.0,2.0,0.0,719.0,0.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.21,43.0,43.0,0.0,0.0,,43.1,45.7,-2.6,-0.07,,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,8.0,0.0,100.0
Javi Galán,es ESP,DF,26.0,36.6,0.0,19.0,5.0,26.3,0.52,0.14,0.0,0.0,27.7,1.0,0.0,0.0,0.5,0.4,0.02,-0.5,-0.4,1697.0,2182.0,77.8,27626.0,8103.0,831.0,941.0,88.3,679.0,834.0,81.4,124.0,260.0,47.7,3.0,2.4,3.1,0.6,23.0,73.0,38.0,26.0,104.0,2182.0,1759.0,417.0,33.0,1.0,17.0,173.0,380.0,4.0,2.0,2.0,0.0,1697.0,6.0,49.0,62.0,1.69,50.0,4.0,2.0,1.0,4.0,1.0,5.0,0.14,4.0,0.0,0.0,1.0,0.0,0.0,108.0,66.0,60.0,37.0,11.0,42.0,99.0,42.4,57.0,48.0,8.0,40.0,45.0,153.0,52.0,0.0,2642.0,70.0,724.0,1190.0,764.0,40.0,2642.0,125.0,85.0,68.0,40.0,32.0,1482.0,9534.0,5404.0,123.0,83.0,15.0,70.0,37.0,1596.0,233.0,37,3298.0,89.0,96.4,36.6,37,89.0,35,0,,0,1.22,43.0,43.0,0.0,0.0,0.0,41.5,44.7,-3.2,-0.09,-0.57,8.0,0.0,0.0,54.0,75.0,11.0,173.0,45.0,66.0,0.0,0.0,0.0,234.0,25.0,48.0,34.2
Iago Aspas,es ESP,FW,33.0,34.3,18.0,85.0,36.0,42.4,2.48,1.05,0.18,0.42,16.5,7.0,3.0,5.0,14.1,10.2,0.12,3.9,4.8,968.0,1371.0,70.6,13844.0,2606.0,542.0,664.0,81.6,266.0,378.0,70.4,75.0,148.0,50.7,5.0,5.9,5.8,-0.9,57.0,60.0,42.0,7.0,108.0,1371.0,1266.0,97.0,38.0,11.0,17.0,108.0,18.0,32.0,21.0,5.0,0.0,968.0,8.0,47.0,120.0,3.5,90.0,7.0,6.0,11.0,6.0,0.0,15.0,0.44,9.0,0.0,1.0,5.0,0.0,0.0,14.0,7.0,1.0,5.0,8.0,4.0,24.0,16.7,20.0,23.0,2.0,21.0,11.0,25.0,19.0,0.0,1693.0,22.0,114.0,677.0,920.0,194.0,1688.0,83.0,51.0,61.4,32.0,38.6,974.0,5749.0,2759.0,112.0,47.0,54.0,67.0,32.0,1300.0,296.0,37,3087.0,83.0,90.3,34.3,36,85.0,26,1,11.0,0,1.22,41.0,39.0,2.0,0.06,0.6,38.8,42.4,-3.6,-0.11,-0.38,9.0,0.0,0.0,22.0,50.0,20.0,108.0,11.0,7.0,0.0,1.0,0.0,113.0,22.0,32.0,40.7
Brais Méndez,es ESP,MF,24.0,33.6,4.0,56.0,16.0,28.6,1.67,0.48,0.07,0.25,19.3,3.0,0.0,0.0,4.6,4.6,0.08,-0.6,-0.6,1195.0,1528.0,78.2,18075.0,4927.0,664.0,767.0,86.6,351.0,428.0,82.0,98.0,154.0,63.6,5.0,3.3,3.9,1.7,35.0,133.0,42.0,6.0,195.0,1528.0,1480.0,39.0,19.0,13.0,21.0,41.0,17.0,2.0,0.0,2.0,0.0,1195.0,9.0,37.0,78.0,2.32,62.0,2.0,3.0,7.0,3.0,1.0,10.0,0.3,9.0,0.0,1.0,0.0,0.0,0.0,68.0,35.0,24.0,35.0,9.0,26.0,87.0,29.9,61.0,52.0,6.0,46.0,37.0,105.0,30.0,0.0,1991.0,47.0,266.0,1072.0,669.0,78.0,1991.0,70.0,34.0,48.6,36.0,51.4,1124.0,5151.0,2317.0,57.0,68.0,13.0,78.0,49.0,1405.0,161.0,37,3021.0,82.0,88.3,33.6,36,83.0,20,1,45.0,0,1.22,38.0,33.0,5.0,0.15,1.28,36.9,37.2,-0.3,-0.01,0.49,8.0,0.0,0.0,75.0,54.0,9.0,41.0,37.0,35.0,0.0,0.0,0.0,199.0,45.0,50.0,47.4
Denis Suárez,es ESP,MF,27.0,31.3,4.0,22.0,8.0,36.4,0.7,0.26,0.18,0.5,23.4,1.0,0.0,0.0,2.2,2.2,0.1,1.8,1.8,1639.0,2054.0,79.8,26020.0,7452.0,849.0,959.0,88.5,575.0,696.0,82.6,136.0,247.0,55.1,6.0,4.4,4.6,1.6,46.0,174.0,36.0,7.0,216.0,2054.0,1827.0,221.0,71.0,19.0,21.0,129.0,12.0,85.0,40.0,33.0,0.0,1639.0,6.0,43.0,100.0,3.19,67.0,20.0,6.0,4.0,2.0,1.0,12.0,0.38,8.0,2.0,0.0,1.0,0.0,1.0,61.0,29.0,20.0,33.0,8.0,25.0,82.0,30.5,57.0,32.0,4.0,28.0,16.0,77.0,11.0,0.0,2346.0,26.0,303.0,1423.0,647.0,37.0,2346.0,82.0,42.0,51.2,40.0,48.8,1342.0,8735.0,4970.0,100.0,100.0,7.0,57.0,17.0,1656.0,78.0,38,2819.0,74.0,82.4,31.3,33,79.0,13,5,40.0,0,1.21,39.0,38.0,1.0,0.03,0.18,34.6,40.6,-6.0,-0.19,-0.7,4.0,0.0,0.0,47.0,39.0,1.0,129.0,16.0,29.0,0.0,1.0,0.0,186.0,13.0,21.0,38.2
Fran Beltrán,es ESP,MF,22.0,28.9,1.0,20.0,4.0,20.0,0.69,0.14,0.05,0.25,29.2,0.0,0.0,0.0,0.4,0.4,0.02,0.6,0.6,1716.0,1893.0,90.6,31485.0,7076.0,661.0,720.0,91.8,798.0,840.0,95.0,196.0,231.0,84.8,0.0,0.3,0.8,-0.3,11.0,122.0,8.0,4.0,131.0,1893.0,1821.0,70.0,54.0,1.0,31.0,17.0,2.0,6.0,0.0,4.0,0.0,1716.0,2.0,16.0,38.0,1.32,34.0,0.0,1.0,1.0,1.0,1.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,56.0,41.0,27.0,23.0,6.0,28.0,68.0,41.2,40.0,29.0,5.0,24.0,32.0,88.0,39.0,0.0,2177.0,63.0,582.0,1351.0,262.0,5.0,2177.0,27.0,19.0,70.4,8.0,29.6,1317.0,6821.0,2801.0,18.0,33.0,2.0,31.0,20.0,1509.0,22.0,37,2597.0,70.0,75.9,28.9,31,78.0,14,6,30.0,0,1.24,34.0,28.0,6.0,0.21,0.86,31.5,34.3,-2.8,-0.1,-0.11,4.0,0.0,0.0,17.0,25.0,0.0,17.0,32.0,41.0,0.0,0.0,0.0,207.0,16.0,40.0,28.6
Joseph Aidoo,gh GHA,DF,25.0,29.3,0.0,6.0,1.0,16.7,0.2,0.03,0.0,0.0,13.3,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3,1270.0,1567.0,81.0,26020.0,8332.0,359.0,420.0,85.5,740.0,830.0,89.2,159.0,278.0,57.2,0.0,0.3,0.5,-0.3,6.0,101.0,5.0,1.0,110.0,1567.0,1531.0,32.0,13.0,1.0,11.0,3.0,19.0,0.0,0.0,0.0,0.0,1270.0,4.0,9.0,16.0,0.55,15.0,0.0,0.0,1.0,0.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,39.0,26.0,28.0,10.0,1.0,17.0,31.0,54.8,14.0,23.0,13.0,10.0,38.0,77.0,96.0,3.0,1828.0,196.0,894.0,895.0,48.0,12.0,1828.0,11.0,9.0,81.8,2.0,18.2,1111.0,5975.0,3687.0,25.0,10.0,1.0,14.0,6.0,1163.0,3.0,32,2637.0,82.0,77.1,29.3,30,87.0,24,2,7.0,3,1.22,35.0,31.0,4.0,0.14,0.6,34.1,33.1,1.0,0.03,0.44,1.0,0.0,0.0,10.0,18.0,1.0,3.0,38.0,26.0,0.0,0.0,1.0,164.0,62.0,47.0,56.9
Santi Mina,es ESP,FW,25.0,26.3,7.0,59.0,21.0,35.6,2.24,0.8,0.12,0.33,14.8,1.0,0.0,1.0,8.5,7.7,0.13,-1.5,-0.7,432.0,662.0,65.3,5909.0,1027.0,260.0,361.0,72.0,97.0,150.0,64.7,31.0,51.0,60.8,3.0,2.6,1.7,0.4,21.0,28.0,9.0,1.0,36.0,662.0,639.0,17.0,1.0,2.0,8.0,12.0,11.0,0.0,0.0,0.0,0.0,432.0,6.0,12.0,53.0,2.02,40.0,0.0,1.0,7.0,4.0,1.0,8.0,0.3,6.0,0.0,1.0,1.0,0.0,0.0,27.0,17.0,8.0,15.0,4.0,5.0,32.0,15.6,27.0,28.0,2.0,26.0,6.0,33.0,22.0,0.0,960.0,23.0,99.0,487.0,388.0,94.0,959.0,21.0,12.0,57.1,8.0,38.1,472.0,1833.0,622.0,23.0,19.0,11.0,62.0,34.0,683.0,135.0,33,2367.0,72.0,69.2,26.3,30,76.0,14,3,25.0,0,1.18,28.0,26.0,2.0,0.08,0.25,26.3,30.8,-4.5,-0.17,-0.34,4.0,0.0,0.0,53.0,39.0,10.0,12.0,6.0,17.0,2.0,0.0,0.0,105.0,126.0,154.0,45.0
Néstor Araujo,mx MEX,DF,29.0,29.1,0.0,8.0,1.0,12.5,0.28,0.03,0.0,0.0,21.5,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3,1326.0,1555.0,85.3,26401.0,6871.0,399.0,443.0,90.1,752.0,814.0,92.4,156.0,253.0,61.7,0.0,0.2,0.4,-0.2,2.0,57.0,3.0,1.0,83.0,1555.0,1509.0,41.0,38.0,0.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,1326.0,5.0,8.0,14.0,0.48,12.0,0.0,1.0,1.0,0.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,22.0,14.0,17.0,5.0,0.0,9.0,21.0,42.9,12.0,17.0,10.0,7.0,27.0,49.0,105.0,2.0,1785.0,180.0,940.0,792.0,67.0,14.0,1785.0,8.0,5.0,62.5,3.0,37.5,1007.0,6951.0,4183.0,47.0,38.0,0.0,11.0,4.0,1149.0,3.0,34,2617.0,77.0,76.5,29.1,29,87.0,24,5,19.0,3,1.26,32.0,30.0,2.0,0.07,0.29,30.3,32.0,-1.7,-0.06,0.04,4.0,0.0,0.0,19.0,10.0,0.0,3.0,27.0,14.0,0.0,0.0,1.0,160.0,63.0,48.0,56.8
Hugo Mallo,es ESP,DF,30.0,20.3,1.0,17.0,2.0,11.8,0.84,0.1,0.06,0.5,17.9,0.0,0.0,0.0,0.9,0.9,0.05,0.1,0.1,934.0,1244.0,75.1,14611.0,5612.0,469.0,524.0,89.5,384.0,516.0,74.4,48.0,126.0,38.1,1.0,2.7,1.9,-1.7,20.0,61.0,23.0,9.0,90.0,1244.0,1013.0,225.0,13.0,0.0,2.0,73.0,212.0,0.0,0.0,0.0,0.0,934.0,6.0,27.0,38.0,1.87,30.0,5.0,0.0,1.0,1.0,1.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,45.0,25.0,24.0,19.0,2.0,16.0,31.0,51.6,15.0,23.0,9.0,14.0,20.0,65.0,53.0,0.0,1465.0,66.0,427.0,646.0,397.0,42.0,1465.0,16.0,8.0,50.0,8.0,50.0,655.0,2973.0,1630.0,38.0,34.0,9.0,19.0,10.0,832.0,136.0,21,1826.0,87.0,53.4,20.3,21,87.0,17,0,,1,1.24,23.0,25.0,-2.0,-0.1,-0.21,22.9,23.3,-0.4,-0.02,0.11,5.0,2.0,1.0,38.0,4.0,6.0,73.0,20.0,25.0,0.0,1.0,0.0,97.0,41.0,28.0,59.4
