player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Walter Benítez,ar ARG,GK,26.0,26.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,673.0,788.0,85.4,14403.0,9905.0,217.0,219.0,99.1,352.0,357.0,98.6,103.0,209.0,49.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,788.0,539.0,249.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,673.0,0.0,1.0,2.0,0.08,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.04,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,851.0,775.0,848.0,3.0,0.0,0.0,851.0,0.0,0.0,,0.0,,401.0,2008.0,1291.0,0.0,0.0,0.0,1.0,0.0,354.0,0.0,26,2340.0,90.0,92.9,26.0,26,90.0,26.0,0,,0,1.35,37.0,36.0,1.0,0.04,-0.96,32.1,41.7,-9.7,-0.37,-1.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,9.0,0.0,100.0
Pierre Lees-Melou,fr FRA,MF,26.0,25.0,5.0,54.0,21.0,38.9,2.16,0.84,0.09,0.24,21.4,0.0,0.0,0.0,4.2,4.2,0.08,0.8,0.8,1019.0,1221.0,83.5,17481.0,4875.0,499.0,550.0,90.7,392.0,451.0,86.9,98.0,144.0,68.1,6.0,3.9,3.5,2.1,33.0,98.0,27.0,6.0,157.0,1221.0,1168.0,50.0,29.0,3.0,17.0,46.0,15.0,6.0,2.0,4.0,0.0,1019.0,3.0,23.0,68.0,2.72,49.0,2.0,6.0,7.0,3.0,1.0,9.0,0.36,7.0,0.0,0.0,2.0,0.0,0.0,63.0,27.0,34.0,21.0,8.0,31.0,88.0,35.2,57.0,38.0,12.0,26.0,32.0,95.0,43.0,0.0,1556.0,82.0,364.0,786.0,430.0,47.0,1556.0,43.0,25.0,58.1,18.0,41.9,827.0,4544.0,2385.0,57.0,49.0,9.0,44.0,32.0,1097.0,153.0,26,2252.0,87.0,89.4,25.0,25,90.0,23.0,1,12.0,0,1.46,38.0,34.0,4.0,0.16,0.5,32.4,39.8,-7.3,-0.29,0.01,5.0,0.0,0.0,38.0,33.0,1.0,46.0,32.0,27.0,0.0,0.0,0.0,167.0,14.0,13.0,51.9
Kasper Dolberg,dk DEN,FW,21.0,21.0,11.0,42.0,25.0,59.5,2.0,1.19,0.26,0.44,13.9,0.0,0.0,0.0,8.1,8.1,0.19,2.9,2.9,221.0,290.0,76.2,3024.0,255.0,132.0,163.0,81.0,75.0,87.0,86.2,3.0,4.0,75.0,3.0,2.3,0.5,0.7,12.0,7.0,2.0,0.0,10.0,290.0,242.0,47.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,221.0,1.0,11.0,27.0,1.29,15.0,0.0,2.0,6.0,4.0,0.0,4.0,0.19,3.0,0.0,0.0,1.0,0.0,0.0,10.0,6.0,0.0,3.0,7.0,4.0,17.0,23.5,13.0,18.0,2.0,16.0,10.0,20.0,24.0,0.0,527.0,29.0,49.0,253.0,230.0,68.0,527.0,35.0,13.0,37.1,22.0,62.9,285.0,1544.0,495.0,20.0,18.0,8.0,62.0,27.0,370.0,90.0,23,1888.0,82.0,74.9,21.0,22,85.0,14.0,1,16.0,0,1.39,32.0,27.0,5.0,0.24,0.52,26.1,32.7,-6.6,-0.31,-0.08,2.0,0.0,0.0,25.0,36.0,7.0,3.0,10.0,6.0,0.0,0.0,0.0,32.0,19.0,21.0,47.5
Dante,br BRA,DF,35.0,21.0,1.0,18.0,6.0,33.3,0.86,0.29,0.06,0.17,10.4,1.0,0.0,0.0,1.7,1.7,0.09,-0.7,-0.7,1492.0,1639.0,91.0,28844.0,11934.0,504.0,528.0,95.5,850.0,887.0,95.8,131.0,200.0,65.5,0.0,0.3,0.4,-0.3,7.0,70.0,4.0,0.0,89.0,1639.0,1589.0,48.0,42.0,5.0,20.0,1.0,6.0,0.0,0.0,0.0,0.0,1492.0,2.0,9.0,22.0,1.05,18.0,0.0,0.0,2.0,0.0,2.0,3.0,0.14,2.0,0.0,0.0,1.0,0.0,0.0,34.0,21.0,24.0,10.0,0.0,17.0,25.0,68.0,8.0,27.0,16.0,11.0,26.0,60.0,79.0,0.0,1862.0,249.0,968.0,870.0,33.0,20.0,1862.0,9.0,8.0,88.9,1.0,11.1,1073.0,5226.0,3331.0,8.0,2.0,0.0,9.0,7.0,1396.0,1.0,21,1890.0,90.0,75.0,21.0,21,90.0,21.0,0,,0,1.48,31.0,26.0,5.0,0.24,0.52,27.5,31.5,-4.0,-0.19,0.41,7.0,0.0,0.0,17.0,6.0,1.0,1.0,26.0,21.0,0.0,1.0,1.0,133.0,51.0,28.0,64.6
Wylan Cyprien,fr FRA,MF,24.0,19.7,7.0,53.0,14.0,26.4,2.69,0.71,0.04,0.14,27.8,20.0,5.0,5.0,6.5,2.6,0.05,0.5,-0.6,1126.0,1351.0,83.3,20668.0,5937.0,498.0,552.0,90.2,466.0,513.0,90.8,143.0,242.0,59.1,3.0,3.4,3.1,-0.4,37.0,110.0,8.0,3.0,156.0,1351.0,1201.0,148.0,67.0,1.0,11.0,97.0,1.0,80.0,35.0,30.0,3.0,1126.0,2.0,13.0,85.0,4.32,43.0,32.0,0.0,8.0,1.0,1.0,13.0,0.66,5.0,6.0,0.0,2.0,0.0,0.0,17.0,11.0,5.0,12.0,0.0,7.0,27.0,25.9,20.0,8.0,2.0,6.0,19.0,36.0,16.0,3.0,1504.0,43.0,292.0,937.0,293.0,16.0,1499.0,23.0,14.0,60.9,9.0,39.1,714.0,3224.0,2044.0,24.0,19.0,1.0,18.0,15.0,1112.0,28.0,20,1772.0,89.0,70.3,19.7,20,89.0,18.0,0,,0,1.45,30.0,25.0,5.0,0.25,0.49,26.5,29.2,-2.7,-0.14,0.53,3.0,1.0,1.0,13.0,32.0,1.0,97.0,19.0,11.0,0.0,1.0,0.0,122.0,14.0,10.0,58.3
Alexis Claude-Maurice,fr FRA,"FW,MF",21.0,18.1,1.0,38.0,10.0,26.3,2.1,0.55,0.03,0.1,18.3,0.0,0.0,0.0,3.2,3.2,0.08,-2.2,-2.2,501.0,595.0,84.2,7525.0,1582.0,300.0,334.0,89.8,159.0,186.0,85.5,29.0,47.0,61.7,1.0,1.6,1.6,-0.6,20.0,30.0,18.0,2.0,64.0,595.0,569.0,26.0,6.0,1.0,4.0,28.0,5.0,13.0,4.0,8.0,0.0,501.0,0.0,8.0,58.0,3.2,29.0,3.0,14.0,5.0,7.0,0.0,5.0,0.28,4.0,0.0,1.0,0.0,0.0,0.0,26.0,16.0,8.0,11.0,7.0,13.0,35.0,37.1,22.0,20.0,4.0,16.0,11.0,37.0,4.0,0.0,842.0,9.0,106.0,416.0,335.0,52.0,842.0,85.0,58.0,68.2,27.0,31.8,548.0,3757.0,2095.0,64.0,63.0,16.0,55.0,37.0,648.0,142.0,22,1629.0,74.0,64.6,18.1,19,83.0,12.0,3,14.0,0,1.41,25.0,25.0,0.0,0.0,-0.3,21.4,30.0,-8.6,-0.48,-0.52,2.0,0.0,0.0,13.0,44.0,1.0,28.0,11.0,16.0,0.0,0.0,0.0,73.0,9.0,7.0,56.3
Malang Sarr,fr FRA,DF,20.0,16.2,1.0,4.0,1.0,25.0,0.25,0.06,0.25,1.0,21.1,0.0,0.0,0.0,0.2,0.2,0.06,0.8,0.8,1063.0,1180.0,90.1,21155.0,7593.0,339.0,364.0,93.1,594.0,625.0,95.0,125.0,174.0,71.8,0.0,0.1,0.3,-0.1,2.0,65.0,3.0,1.0,94.0,1180.0,1112.0,67.0,30.0,0.0,17.0,3.0,37.0,0.0,0.0,0.0,0.0,1063.0,1.0,5.0,11.0,0.68,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,19.0,11.0,13.0,6.0,0.0,9.0,22.0,40.9,13.0,10.0,4.0,6.0,38.0,57.0,31.0,4.0,1313.0,101.0,550.0,705.0,65.0,4.0,1313.0,3.0,3.0,100.0,0.0,0.0,726.0,3819.0,2399.0,13.0,9.0,1.0,9.0,4.0,967.0,2.0,19,1454.0,77.0,57.7,16.2,16,86.0,13.0,3,28.0,4,1.63,25.0,18.0,7.0,0.43,0.77,19.0,26.0,-6.9,-0.43,-0.32,2.0,0.0,0.0,8.0,10.0,0.0,3.0,38.0,11.0,0.0,0.0,0.0,90.0,13.0,16.0,44.8
Patrick Burner,mq MTQ,DF,23.0,15.9,1.0,7.0,1.0,14.3,0.44,0.06,0.14,1.0,22.7,0.0,0.0,0.0,0.3,0.3,0.05,0.7,0.7,941.0,1099.0,85.6,14933.0,5545.0,484.0,515.0,94.0,413.0,449.0,92.0,37.0,96.0,38.5,1.0,0.8,0.5,0.2,7.0,68.0,9.0,5.0,101.0,1099.0,935.0,160.0,27.0,0.0,1.0,24.0,133.0,0.0,0.0,0.0,0.0,941.0,4.0,18.0,21.0,1.32,17.0,0.0,1.0,1.0,0.0,2.0,2.0,0.13,2.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,15.0,17.0,3.0,14.0,25.0,56.0,11.0,11.0,2.0,9.0,30.0,65.0,37.0,0.0,1246.0,38.0,416.0,695.0,146.0,10.0,1246.0,31.0,20.0,64.5,11.0,35.5,585.0,2646.0,1596.0,20.0,11.0,3.0,7.0,3.0,804.0,32.0,20,1434.0,72.0,56.9,15.9,15,88.0,12.0,5,24.0,5,1.25,21.0,25.0,-4.0,-0.25,-0.83,19.6,24.3,-4.6,-0.29,0.0,6.0,1.0,1.0,18.0,9.0,0.0,24.0,30.0,25.0,0.0,0.0,0.0,86.0,8.0,24.0,25.0
Stanley N'Soki,fr FRA,DF,20.0,14.1,0.0,4.0,1.0,25.0,0.28,0.07,0.0,0.0,9.9,0.0,0.0,0.0,0.4,0.4,0.09,-0.4,-0.4,934.0,1038.0,90.0,15737.0,5454.0,433.0,464.0,93.3,436.0,478.0,91.2,55.0,72.0,76.4,1.0,0.7,0.6,0.3,7.0,69.0,4.0,1.0,109.0,1038.0,935.0,102.0,30.0,0.0,4.0,3.0,72.0,0.0,0.0,0.0,0.0,934.0,1.0,7.0,18.0,1.27,14.0,1.0,1.0,1.0,1.0,0.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0,40.0,29.0,24.0,16.0,0.0,23.0,42.0,54.8,19.0,14.0,6.0,8.0,32.0,72.0,37.0,0.0,1191.0,75.0,418.0,706.0,91.0,8.0,1191.0,36.0,25.0,69.4,11.0,30.6,604.0,3412.0,2107.0,25.0,18.0,1.0,12.0,5.0,809.0,18.0,17,1273.0,75.0,50.5,14.1,14,89.0,12.0,3,8.0,4,1.65,24.0,18.0,6.0,0.42,0.64,19.1,21.5,-2.4,-0.17,0.25,3.0,0.0,0.0,15.0,13.0,0.0,3.0,32.0,29.0,0.0,1.0,0.0,103.0,21.0,13.0,61.8
Adam Ounas,dz ALG,"FW,MF",22.0,12.5,2.0,21.0,9.0,42.9,1.68,0.72,0.1,0.22,17.9,1.0,0.0,0.0,2.0,2.0,0.1,0.0,0.0,373.0,497.0,75.1,6633.0,1587.0,174.0,203.0,85.7,152.0,193.0,78.8,43.0,74.0,58.1,4.0,3.3,2.2,0.7,25.0,25.0,24.0,7.0,52.0,497.0,447.0,47.0,10.0,7.0,8.0,53.0,18.0,16.0,7.0,2.0,0.0,373.0,3.0,10.0,53.0,4.25,35.0,3.0,8.0,3.0,3.0,1.0,5.0,0.4,4.0,0.0,0.0,0.0,1.0,0.0,10.0,5.0,2.0,6.0,2.0,5.0,13.0,38.5,8.0,9.0,1.0,8.0,11.0,21.0,8.0,1.0,651.0,4.0,64.0,300.0,304.0,38.0,651.0,71.0,45.0,63.4,26.0,36.6,378.0,2880.0,1310.0,41.0,30.0,21.0,34.0,23.0,500.0,132.0,16,1123.0,70.0,44.6,12.5,14,76.0,4.0,2,30.0,0,1.69,20.0,15.0,5.0,0.4,0.53,16.3,18.6,-2.3,-0.19,0.19,2.0,1.0,0.0,7.0,29.0,0.0,53.0,11.0,5.0,1.0,0.0,0.0,47.0,2.0,14.0,12.5
