player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Ludovic Ajorque,fr FRA,FW,26.0,33.0,16.0,66.0,30.0,45.5,2.0,0.91,0.18,0.4,15.0,0.0,4.0,5.0,15.7,11.8,0.18,0.3,0.2,620.0,927.0,66.9,9736.0,1641.0,350.0,484.0,72.3,192.0,262.0,73.3,51.0,78.0,65.4,4.0,3.9,3.8,0.1,36.0,43.0,19.0,3.0,61.0,927.0,875.0,52.0,0.0,0.0,25.0,27.0,4.0,0.0,0.0,0.0,0.0,620.0,0.0,30.0,77.0,2.34,55.0,0.0,1.0,12.0,9.0,0.0,8.0,0.24,4.0,0.0,1.0,1.0,2.0,0.0,30.0,18.0,6.0,18.0,6.0,7.0,31.0,22.6,24.0,14.0,5.0,9.0,11.0,41.0,54.0,0.0,1251.0,62.0,122.0,597.0,539.0,159.0,1246.0,23.0,10.0,43.5,13.0,56.5,611.0,2404.0,953.0,33.0,25.0,15.0,74.0,31.0,940.0,224.0,35,2967.0,85.0,86.8,33.0,34,87.0,28.0,1,25.0,1,1.2,46.0,49.0,-3.0,-0.09,1.1,48.7,45.0,3.7,0.11,0.43,5.0,0.0,0.0,38.0,46.0,12.0,27.0,11.0,18.0,2.0,0.0,0.0,67.0,166.0,133.0,55.5
Anthony Caci,fr FRA,DF,23.0,31.1,0.0,8.0,0.0,0.0,0.26,0.0,0.0,,24.3,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3,1464.0,1921.0,76.2,28156.0,11238.0,624.0,714.0,87.4,591.0,727.0,81.3,220.0,383.0,57.4,2.0,2.5,2.7,-0.5,19.0,131.0,30.0,17.0,159.0,1921.0,1559.0,358.0,39.0,2.0,51.0,74.0,319.0,0.0,0.0,0.0,0.0,1464.0,4.0,45.0,49.0,1.58,38.0,4.0,3.0,2.0,1.0,1.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,80.0,46.0,47.0,27.0,6.0,35.0,69.0,50.7,34.0,30.0,4.0,26.0,55.0,135.0,65.0,1.0,2251.0,84.0,742.0,1145.0,384.0,16.0,2251.0,42.0,27.0,64.3,15.0,35.7,1154.0,5628.0,2749.0,52.0,37.0,4.0,35.0,16.0,1260.0,86.0,33,2797.0,85.0,81.8,31.1,32,87.0,22.0,1,27.0,5,1.18,39.0,43.0,-4.0,-0.13,0.59,43.7,36.5,7.3,0.23,0.97,0.0,0.0,0.0,32.0,14.0,0.0,74.0,55.0,46.0,0.0,0.0,0.0,214.0,27.0,42.0,39.1
Stefan Mitrović,rs SRB,DF,30.0,30.9,2.0,12.0,4.0,33.3,0.39,0.13,0.17,0.5,9.0,0.0,0.0,0.0,1.3,1.3,0.11,0.7,0.7,1112.0,1275.0,87.2,24066.0,9066.0,274.0,300.0,91.3,652.0,701.0,93.0,175.0,250.0,70.0,0.0,0.3,0.4,-0.3,5.0,42.0,3.0,0.0,48.0,1275.0,1221.0,53.0,49.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,1112.0,1.0,2.0,17.0,0.55,10.0,3.0,0.0,2.0,2.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,36.0,27.0,29.0,7.0,0.0,24.0,37.0,64.9,13.0,23.0,13.0,10.0,31.0,67.0,108.0,5.0,1503.0,203.0,854.0,628.0,27.0,19.0,1503.0,2.0,2.0,100.0,0.0,0.0,863.0,4663.0,2720.0,7.0,1.0,0.0,6.0,2.0,922.0,0.0,32,2784.0,87.0,81.4,30.9,31,88.0,30.0,1,45.0,3,1.0,35.0,51.0,-16.0,-0.52,-1.51,41.8,42.0,-0.2,-0.01,-0.33,3.0,1.0,0.0,21.0,14.0,0.0,0.0,31.0,27.0,0.0,1.0,0.0,138.0,49.0,38.0,56.3
Adrien Thomasson,fr FRA,"MF,FW",26.0,29.2,5.0,47.0,15.0,31.9,1.61,0.51,0.11,0.33,16.6,0.0,0.0,0.0,6.2,6.2,0.13,-1.2,-1.2,861.0,1132.0,76.1,13438.0,2933.0,451.0,550.0,82.0,296.0,374.0,79.1,68.0,97.0,70.1,1.0,4.0,4.1,-3.0,36.0,70.0,23.0,5.0,99.0,1132.0,1078.0,51.0,8.0,0.0,10.0,38.0,11.0,3.0,0.0,0.0,0.0,861.0,3.0,39.0,89.0,3.05,63.0,1.0,8.0,9.0,6.0,2.0,10.0,0.34,5.0,0.0,3.0,1.0,1.0,0.0,36.0,17.0,8.0,16.0,12.0,12.0,58.0,20.7,46.0,44.0,5.0,39.0,22.0,58.0,2.0,0.0,1441.0,5.0,134.0,723.0,598.0,116.0,1441.0,47.0,24.0,51.1,23.0,48.9,785.0,3653.0,1315.0,37.0,24.0,9.0,73.0,47.0,991.0,159.0,37,2624.0,71.0,76.7,29.2,31,81.0,12.0,6,19.0,0,1.11,38.0,41.0,-3.0,-0.1,0.58,40.1,37.1,3.0,0.1,0.2,8.0,1.0,1.0,52.0,43.0,6.0,38.0,22.0,17.0,1.0,0.0,0.0,150.0,24.0,65.0,27.0
Ibrahima Sissoko,fr FRA,MF,22.0,28.7,0.0,25.0,3.0,12.0,0.87,0.1,0.0,0.0,19.4,0.0,0.0,0.0,2.0,2.0,0.08,-2.0,-2.0,885.0,1111.0,79.7,16727.0,5069.0,361.0,421.0,85.7,389.0,442.0,88.0,116.0,186.0,62.4,0.0,0.3,0.9,-0.3,6.0,108.0,13.0,4.0,128.0,1111.0,1090.0,16.0,11.0,0.0,16.0,27.0,5.0,0.0,0.0,0.0,0.0,885.0,5.0,24.0,34.0,1.19,27.0,0.0,0.0,2.0,2.0,3.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,68.0,48.0,25.0,35.0,8.0,28.0,68.0,41.2,40.0,22.0,5.0,17.0,48.0,116.0,44.0,0.0,1408.0,64.0,339.0,865.0,235.0,26.0,1408.0,41.0,29.0,70.7,12.0,29.3,750.0,3831.0,1897.0,28.0,30.0,3.0,45.0,23.0,865.0,51.0,36,2581.0,72.0,75.5,28.7,29,84.0,18.0,7,19.0,0,1.06,40.0,38.0,2.0,0.07,1.25,42.9,37.6,5.4,0.19,0.54,6.0,0.0,0.0,66.0,22.0,0.0,27.0,48.0,48.0,0.0,1.0,0.0,173.0,55.0,23.0,70.5
Alexander Djiku,gh GHA,"DF,MF",25.0,28.4,0.0,16.0,3.0,18.8,0.56,0.11,0.0,0.0,17.1,1.0,0.0,0.0,2.0,2.0,0.14,-2.0,-2.0,1134.0,1351.0,83.9,24532.0,9351.0,264.0,296.0,89.2,671.0,741.0,90.6,182.0,269.0,67.7,0.0,0.6,0.6,-0.6,4.0,70.0,1.0,0.0,83.0,1351.0,1307.0,42.0,39.0,1.0,12.0,8.0,2.0,1.0,0.0,1.0,0.0,1134.0,2.0,8.0,22.0,0.78,15.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,41.0,45.0,13.0,2.0,32.0,52.0,61.5,20.0,28.0,10.0,18.0,91.0,151.0,104.0,0.0,1670.0,159.0,885.0,722.0,75.0,22.0,1670.0,6.0,5.0,83.3,1.0,16.7,918.0,4598.0,2139.0,11.0,11.0,0.0,9.0,7.0,1022.0,7.0,30,2552.0,85.0,74.6,28.4,29,87.0,24.0,1,27.0,0,1.27,33.0,37.0,-4.0,-0.14,0.38,35.9,31.5,4.4,0.15,0.39,8.0,0.0,0.0,50.0,36.0,2.0,8.0,91.0,41.0,0.0,2.0,0.0,152.0,53.0,36.0,59.6
Habib Diallo,sn SEN,FW,25.0,25.8,9.0,52.0,20.0,38.5,2.02,0.78,0.15,0.4,16.8,0.0,1.0,1.0,7.6,6.8,0.13,1.4,1.2,371.0,563.0,65.9,5893.0,1220.0,204.0,278.0,73.4,114.0,165.0,69.1,35.0,52.0,67.3,3.0,2.4,2.6,0.6,20.0,21.0,18.0,3.0,39.0,563.0,547.0,15.0,0.0,1.0,9.0,17.0,2.0,0.0,0.0,0.0,0.0,371.0,1.0,21.0,45.0,1.74,32.0,0.0,4.0,7.0,2.0,0.0,8.0,0.31,4.0,0.0,0.0,4.0,0.0,0.0,11.0,6.0,3.0,6.0,2.0,7.0,18.0,38.9,11.0,12.0,2.0,10.0,13.0,24.0,12.0,0.0,825.0,15.0,77.0,369.0,387.0,102.0,824.0,30.0,16.0,53.3,14.0,46.7,481.0,2216.0,639.0,20.0,16.0,8.0,85.0,38.0,635.0,159.0,32,2322.0,73.0,67.9,25.8,27,81.0,11.0,5,29.0,0,1.22,39.0,34.0,5.0,0.19,1.34,35.9,32.2,3.7,0.14,0.28,2.0,0.0,0.0,24.0,25.0,13.0,17.0,13.0,6.0,0.0,0.0,0.0,74.0,94.0,101.0,48.2
Jean-Eudes Aholou,ci CIV,MF,26.0,23.8,2.0,31.0,6.0,19.4,1.3,0.25,0.06,0.33,21.3,0.0,0.0,0.0,2.3,2.1,0.07,-0.3,-0.1,701.0,851.0,82.4,11805.0,2947.0,324.0,367.0,88.3,283.0,341.0,83.0,68.0,93.0,73.1,2.0,1.3,0.8,0.7,7.0,59.0,9.0,1.0,92.0,851.0,835.0,15.0,13.0,1.0,6.0,8.0,1.0,1.0,0.0,1.0,0.0,701.0,1.0,10.0,33.0,1.38,25.0,0.0,1.0,2.0,3.0,2.0,4.0,0.17,2.0,0.0,0.0,1.0,0.0,1.0,46.0,25.0,18.0,25.0,3.0,19.0,48.0,39.6,29.0,17.0,5.0,12.0,53.0,99.0,32.0,0.0,1105.0,45.0,239.0,692.0,200.0,22.0,1105.0,33.0,26.0,78.8,7.0,21.2,569.0,2891.0,1414.0,26.0,20.0,2.0,41.0,20.0,664.0,25.0,27,2146.0,79.0,62.7,23.8,26,82.0,14.0,1,17.0,0,1.19,34.0,38.0,-4.0,-0.17,0.19,34.0,35.3,-1.2,-0.05,-0.29,9.0,0.0,0.0,50.0,32.0,0.0,8.0,53.0,25.0,0.0,0.0,0.0,165.0,40.0,30.0,57.1
Jean-Ricner Bellegarde,fr FRA,"MF,FW",22.0,23.2,1.0,23.0,5.0,21.7,0.99,0.22,0.04,0.2,17.9,0.0,0.0,0.0,2.1,2.1,0.09,-1.1,-1.1,618.0,806.0,76.7,11359.0,2057.0,267.0,318.0,84.0,263.0,315.0,83.5,72.0,110.0,65.5,1.0,2.5,3.1,-1.5,19.0,41.0,16.0,7.0,68.0,806.0,763.0,39.0,9.0,0.0,13.0,68.0,3.0,27.0,15.0,5.0,0.0,618.0,4.0,30.0,45.0,1.94,28.0,4.0,5.0,3.0,5.0,0.0,9.0,0.39,5.0,0.0,0.0,1.0,3.0,0.0,56.0,39.0,22.0,25.0,9.0,14.0,23.0,60.9,9.0,20.0,2.0,18.0,19.0,75.0,16.0,0.0,1091.0,22.0,161.0,560.0,389.0,54.0,1091.0,78.0,45.0,57.7,33.0,42.3,651.0,4827.0,2019.0,64.0,40.0,19.0,72.0,38.0,743.0,97.0,36,2086.0,58.0,61.0,23.2,25,74.0,4.0,11,21.0,0,1.06,27.0,35.0,-8.0,-0.35,-0.28,29.3,29.7,-0.4,-0.02,-0.19,3.0,0.0,0.0,32.0,47.0,0.0,68.0,19.0,39.0,3.0,0.0,0.0,110.0,23.0,44.0,34.3
Eiji Kawashima,jp JPN,GK,37.0,24.0,0.0,1.0,0.0,0.0,0.04,0.0,0.0,,73.6,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,487.0,712.0,68.4,17583.0,14857.0,48.0,48.0,100.0,187.0,188.0,99.5,249.0,471.0,52.9,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,712.0,458.0,254.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0,0.0,2.0,4.0,0.17,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,759.0,662.0,755.0,4.0,0.0,0.0,759.0,0.0,0.0,,0.0,,382.0,2057.0,1068.0,0.0,0.0,0.0,3.0,0.0,287.0,0.0,24,2160.0,90.0,63.2,24.0,24,90.0,24.0,0,,14,1.29,31.0,31.0,0.0,0.0,0.64,32.5,31.7,0.7,0.03,-0.07,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,7.0,1.0,87.5
