player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Marc Cucurella,es ESP,MF,22.0,36.0,3.0,26.0,8.0,30.8,0.72,0.22,0.12,0.38,18.6,0.0,0.0,0.0,1.9,1.8,0.07,1.1,1.2,923.0,1351.0,68.3,13451.0,4428.0,544.0,667.0,81.6,266.0,388.0,68.6,59.0,143.0,41.3,2.0,3.6,3.2,-1.6,39.0,64.0,36.0,16.0,103.0,1351.0,1209.0,136.0,18.0,0.0,4.0,138.0,107.0,11.0,3.0,0.0,0.0,923.0,6.0,53.0,86.0,2.39,68.0,5.0,3.0,0.0,9.0,1.0,3.0,0.08,2.0,0.0,1.0,0.0,0.0,0.0,64.0,51.0,19.0,40.0,5.0,25.0,66.0,37.9,41.0,45.0,4.0,41.0,40.0,104.0,27.0,0.0,1738.0,26.0,215.0,687.0,865.0,86.0,1738.0,59.0,24.0,40.7,35.0,59.3,894.0,4768.0,2328.0,77.0,53.0,24.0,83.0,42.0,1031.0,219.0,37,3244.0,88.0,94.9,36.0,37,88.0,31,0,,0,1.03,25.0,38.0,-13.0,-0.36,0.66,32.6,37.3,-4.7,-0.13,0.46,8.0,0.0,0.0,69.0,60.0,9.0,138.0,40.0,51.0,0.0,0.0,0.0,202.0,69.0,90.0,43.4
Djené,tg TOG,DF,28.0,32.7,0.0,2.0,0.0,0.0,0.06,0.0,0.0,,9.9,0.0,0.0,0.0,0.2,0.2,0.09,-0.2,-0.2,757.0,1042.0,72.6,15294.0,5697.0,240.0,294.0,81.6,397.0,501.0,79.2,109.0,207.0,52.7,1.0,0.4,0.3,0.6,6.0,51.0,3.0,1.0,71.0,1042.0,965.0,74.0,51.0,0.0,5.0,10.0,23.0,0.0,0.0,0.0,0.0,757.0,3.0,6.0,16.0,0.49,12.0,0.0,1.0,0.0,2.0,1.0,3.0,0.09,1.0,0.0,1.0,0.0,1.0,0.0,61.0,39.0,31.0,26.0,4.0,26.0,34.0,76.5,8.0,24.0,11.0,13.0,42.0,103.0,96.0,0.0,1321.0,146.0,573.0,695.0,80.0,8.0,1321.0,15.0,13.0,86.7,2.0,13.3,563.0,3230.0,1548.0,11.0,13.0,3.0,19.0,12.0,469.0,11.0,34,2941.0,87.0,86.0,32.7,34,87.0,30,0,,0,1.09,28.0,35.0,-7.0,-0.21,1.29,32.3,33.4,-1.1,-0.03,0.86,8.0,2.0,1.0,35.0,36.0,1.0,10.0,42.0,39.0,1.0,2.0,0.0,236.0,67.0,39.0,63.2
Nemanja Maksimović,rs SRB,MF,25.0,30.3,1.0,17.0,4.0,23.5,0.56,0.13,0.06,0.25,15.6,0.0,0.0,0.0,2.0,2.0,0.12,-1.0,-1.0,582.0,787.0,74.0,8676.0,2018.0,286.0,355.0,80.6,189.0,255.0,74.1,43.0,84.0,51.2,0.0,0.9,1.1,-0.9,19.0,37.0,15.0,10.0,55.0,787.0,733.0,53.0,12.0,0.0,4.0,23.0,2.0,0.0,0.0,0.0,0.0,582.0,1.0,16.0,37.0,1.22,33.0,1.0,1.0,1.0,0.0,1.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,50.0,28.0,22.0,24.0,4.0,19.0,46.0,41.3,27.0,40.0,9.0,31.0,57.0,107.0,46.0,1.0,1056.0,53.0,227.0,581.0,255.0,32.0,1056.0,19.0,13.0,68.4,6.0,31.6,418.0,2249.0,942.0,20.0,22.0,6.0,12.0,19.0,440.0,32.0,35,2728.0,78.0,79.8,30.3,34,80.0,16,1,25.0,0,1.0,21.0,31.0,-10.0,-0.33,0.32,24.7,32.8,-8.1,-0.27,-0.55,5.0,0.0,0.0,26.0,9.0,0.0,23.0,57.0,28.0,0.0,1.0,0.0,133.0,50.0,67.0,42.7
Mauro Arambarri,uy URU,MF,24.0,33.1,3.0,46.0,9.0,19.6,1.39,0.27,0.07,0.33,26.5,6.0,0.0,0.0,2.1,2.1,0.05,0.9,0.9,739.0,1093.0,67.6,15261.0,4087.0,268.0,339.0,79.1,289.0,389.0,74.3,153.0,291.0,52.6,0.0,2.0,2.4,-2.0,21.0,81.0,24.0,10.0,119.0,1093.0,964.0,123.0,51.0,2.0,36.0,123.0,2.0,68.0,41.0,13.0,0.0,739.0,6.0,14.0,63.0,1.9,36.0,11.0,4.0,5.0,7.0,0.0,3.0,0.09,2.0,0.0,0.0,1.0,0.0,0.0,64.0,39.0,22.0,35.0,7.0,23.0,80.0,28.8,57.0,40.0,5.0,35.0,42.0,106.0,28.0,0.0,1443.0,39.0,223.0,814.0,436.0,31.0,1443.0,56.0,36.0,64.3,20.0,35.7,716.0,4368.0,1745.0,38.0,44.0,9.0,39.0,31.0,721.0,50.0,34,2983.0,88.0,87.2,33.1,33,89.0,26,1,45.0,2,1.09,26.0,35.0,-9.0,-0.27,0.96,30.7,35.4,-4.7,-0.14,0.1,11.0,0.0,0.0,58.0,73.0,1.0,123.0,42.0,39.0,0.0,0.0,0.0,204.0,54.0,53.0,50.5
Mathías Olivera,uy URU,DF,22.0,29.0,0.0,19.0,4.0,21.1,0.65,0.14,0.0,0.0,12.9,0.0,0.0,0.0,2.5,2.5,0.13,-2.5,-2.5,783.0,1168.0,67.0,12139.0,5744.0,434.0,538.0,80.7,249.0,370.0,67.3,62.0,146.0,42.5,0.0,2.1,2.0,-2.1,21.0,60.0,16.0,11.0,102.0,1168.0,880.0,282.0,15.0,0.0,6.0,64.0,267.0,0.0,0.0,0.0,0.0,783.0,6.0,35.0,42.0,1.45,29.0,4.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,33.0,31.0,21.0,9.0,32.0,56.0,57.1,24.0,33.0,3.0,30.0,31.0,92.0,55.0,0.0,1478.0,74.0,368.0,665.0,468.0,62.0,1478.0,37.0,26.0,70.3,11.0,29.7,565.0,3093.0,1817.0,49.0,42.0,10.0,37.0,24.0,587.0,59.0,31,2614.0,84.0,76.4,29.0,30,87.0,24,1,3.0,1,1.03,20.0,25.0,-5.0,-0.17,0.94,26.8,27.8,-1.0,-0.03,0.52,6.0,0.0,0.0,27.0,24.0,2.0,64.0,31.0,33.0,0.0,1.0,0.0,160.0,77.0,69.0,52.7
David Soria,es ESP,GK,27.0,28.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,399.0,860.0,46.4,18729.0,17094.0,17.0,17.0,100.0,71.0,75.0,94.7,311.0,762.0,40.8,0.0,0.0,0.1,0.0,0.0,57.0,2.0,0.0,0.0,860.0,517.0,338.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,5.0,1.0,7.0,0.25,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,1.0,3.0,12.0,0.0,913.0,642.0,896.0,17.0,0.0,0.0,913.0,0.0,0.0,,0.0,,419.0,3086.0,2193.0,0.0,0.0,0.0,0.0,0.0,249.0,0.0,28,2520.0,90.0,73.7,28.0,28,90.0,28,0,,10,0.93,20.0,31.0,-11.0,-0.39,0.01,25.2,30.0,-4.8,-0.17,-0.07,2.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,37.0,8.0,3.0,72.7
Damián Suárez,uy URU,DF,32.0,27.0,1.0,10.0,2.0,20.0,0.37,0.07,0.1,0.5,31.6,2.0,0.0,0.0,0.3,0.3,0.03,0.7,0.7,863.0,1343.0,64.3,15823.0,8962.0,392.0,493.0,79.5,333.0,487.0,68.4,113.0,268.0,42.2,0.0,1.0,1.7,-1.0,19.0,119.0,24.0,15.0,135.0,1343.0,938.0,395.0,80.0,1.0,33.0,91.0,309.0,6.0,0.0,4.0,0.0,863.0,10.0,32.0,38.0,1.41,20.0,11.0,1.0,1.0,4.0,1.0,2.0,0.07,1.0,0.0,1.0,0.0,0.0,0.0,59.0,39.0,29.0,23.0,7.0,30.0,81.0,37.0,51.0,43.0,2.0,41.0,31.0,90.0,42.0,0.0,1578.0,44.0,383.0,784.0,437.0,9.0,1578.0,39.0,22.0,56.4,17.0,43.6,571.0,2358.0,1349.0,28.0,27.0,3.0,30.0,14.0,654.0,53.0,31,2434.0,79.0,71.2,27.0,28,85.0,19,3,21.0,3,1.16,25.0,31.0,-6.0,-0.22,0.6,24.4,27.2,-2.8,-0.1,0.18,13.0,1.0,1.0,53.0,38.0,0.0,91.0,31.0,39.0,0.0,1.0,0.0,155.0,35.0,28.0,55.6
Allan Nyom,cm CMR,"MF,DF",32.0,25.8,0.0,10.0,2.0,20.0,0.39,0.08,0.0,0.0,14.0,0.0,0.0,0.0,1.0,1.0,0.1,-1.0,-1.0,577.0,903.0,63.9,9417.0,3925.0,301.0,385.0,78.2,208.0,295.0,70.5,52.0,157.0,33.1,2.0,2.3,1.6,-0.3,17.0,54.0,22.0,20.0,59.0,903.0,737.0,162.0,5.0,0.0,7.0,94.0,156.0,1.0,0.0,0.0,0.0,577.0,4.0,22.0,34.0,1.32,28.0,3.0,2.0,0.0,1.0,0.0,2.0,0.08,1.0,0.0,1.0,0.0,0.0,0.0,38.0,23.0,14.0,19.0,5.0,15.0,30.0,50.0,15.0,16.0,2.0,14.0,22.0,60.0,42.0,0.0,1124.0,41.0,238.0,537.0,360.0,35.0,1124.0,24.0,11.0,45.8,13.0,54.2,514.0,2539.0,1020.0,35.0,34.0,5.0,30.0,23.0,574.0,66.0,31,2323.0,75.0,67.9,25.8,28,81.0,15,3,14.0,3,1.16,17.0,27.0,-10.0,-0.39,0.02,20.7,26.6,-5.9,-0.23,-0.23,10.0,1.0,0.0,44.0,20.0,1.0,94.0,22.0,23.0,0.0,0.0,0.0,126.0,51.0,39.0,56.7
Jaime Mata,es ESP,FW,31.0,22.6,5.0,38.0,15.0,39.5,1.68,0.66,0.11,0.27,12.4,0.0,1.0,2.0,7.0,5.5,0.15,-2.0,-1.5,389.0,598.0,65.1,4741.0,1021.0,256.0,356.0,71.9,81.0,117.0,69.2,16.0,37.0,43.2,0.0,1.2,1.7,-1.2,15.0,20.0,10.0,3.0,32.0,598.0,571.0,25.0,0.0,0.0,2.0,35.0,9.0,0.0,0.0,0.0,0.0,389.0,2.0,22.0,43.0,1.9,32.0,0.0,2.0,4.0,5.0,0.0,3.0,0.13,1.0,0.0,1.0,1.0,0.0,0.0,12.0,7.0,1.0,3.0,8.0,3.0,18.0,16.7,15.0,13.0,2.0,11.0,6.0,18.0,16.0,0.0,799.0,17.0,46.0,324.0,434.0,110.0,797.0,18.0,4.0,22.2,14.0,77.8,416.0,1477.0,379.0,14.0,9.0,7.0,59.0,20.0,613.0,134.0,33,2037.0,62.0,59.6,22.6,23,75.0,8,10,30.0,2,1.0,14.0,24.0,-10.0,-0.44,-0.12,20.3,21.0,-0.7,-0.03,0.31,9.0,1.0,0.0,70.0,36.0,27.0,35.0,6.0,7.0,0.0,0.0,0.0,62.0,78.0,136.0,36.4
Cucho,co COL,"FW,MF",21.0,16.3,2.0,28.0,11.0,39.3,1.72,0.68,0.07,0.18,16.0,1.0,0.0,0.0,2.7,2.7,0.1,-0.7,-0.7,337.0,515.0,65.4,4784.0,1206.0,203.0,268.0,75.7,84.0,128.0,65.6,26.0,47.0,55.3,3.0,1.3,1.3,1.7,20.0,21.0,17.0,4.0,40.0,515.0,502.0,11.0,2.0,1.0,4.0,41.0,6.0,2.0,0.0,1.0,0.0,337.0,2.0,25.0,40.0,2.46,31.0,0.0,2.0,2.0,4.0,1.0,6.0,0.37,5.0,0.0,0.0,1.0,0.0,0.0,19.0,10.0,1.0,14.0,4.0,2.0,23.0,8.7,21.0,18.0,1.0,17.0,6.0,25.0,8.0,0.0,712.0,8.0,46.0,280.0,398.0,53.0,712.0,43.0,30.0,69.8,13.0,30.2,452.0,2673.0,1226.0,51.0,35.0,17.0,63.0,44.0,557.0,98.0,23,1466.0,64.0,42.9,16.3,18,76.0,5,5,21.0,0,1.09,13.0,17.0,-4.0,-0.25,0.26,12.4,18.3,-5.9,-0.36,-0.36,5.0,0.0,0.0,34.0,32.0,10.0,41.0,6.0,10.0,0.0,0.0,0.0,78.0,46.0,68.0,40.4
